DATE,GDPCTPI
1947-01-01,11.969
1947-04-01,12.132
1947-07-01,12.324
1947-10-01,12.577
1948-01-01,12.722
1948-04-01,12.872
1948-07-01,13.097
1948-10-01,13.092
1949-01-01,13.05
1949-04-01,12.969
1949-07-01,12.876
1949-10-01,12.873
1950-01-01,12.837
1950-04-01,12.891
1950-07-01,13.159
1950-10-01,13.37
1951-01-01,13.821
1951-04-01,13.902
1951-07-01,13.946
1951-10-01,14.13
1952-01-01,14.147
1952-04-01,14.201
1952-07-01,14.308
1952-10-01,14.359
1953-01-01,14.373
1953-04-01,14.407
1953-07-01,14.461
1953-10-01,14.504
1954-01-01,14.565
1954-04-01,14.592
1954-07-01,14.579
1954-10-01,14.598
1955-01-01,14.653
1955-04-01,14.735
1955-07-01,14.836
1955-10-01,14.935
1956-01-01,15.082
1956-04-01,15.224
1956-07-01,15.392
1956-10-01,15.487
1957-01-01,15.664
1957-04-01,15.774
1957-07-01,15.896
1957-10-01,15.989
1958-01-01,16.123
1958-04-01,16.192
1958-07-01,16.231
1958-10-01,16.251
1959-01-01,16.327
1959-04-01,16.373
1959-07-01,16.443
1959-10-01,16.507
1960-01-01,16.538
1960-04-01,16.597
1960-07-01,16.669
1960-10-01,16.742
1961-01-01,16.762
1961-04-01,16.795
1961-07-01,16.83
1961-10-01,16.869
1962-01-01,16.953
1962-04-01,17.0
1962-07-01,17.04
1962-10-01,17.081
1963-01-01,17.165
1963-04-01,17.18
1963-07-01,17.199
1963-10-01,17.311
1964-01-01,17.376
1964-04-01,17.427
1964-07-01,17.513
1964-10-01,17.588
1965-01-01,17.665
1965-04-01,17.747
1965-07-01,17.828
1965-10-01,17.945
1966-01-01,18.054
1966-04-01,18.218
1966-07-01,18.378
1966-10-01,18.528
1967-01-01,18.605
1967-04-01,18.717
1967-07-01,18.885
1967-10-01,19.094
1968-01-01,19.302
1968-04-01,19.519
1968-07-01,19.706
1968-10-01,19.98
1969-01-01,20.18
1969-04-01,20.446
1969-07-01,20.737
1969-10-01,20.997
1970-01-01,21.286
1970-04-01,21.593
1970-07-01,21.77
1970-10-01,22.055
1971-01-01,22.389
1971-04-01,22.689
1971-07-01,22.917
1971-10-01,23.107
1972-01-01,23.478
1972-04-01,23.621
1972-07-01,23.835
1972-10-01,24.105
1973-01-01,24.412
1973-04-01,24.816
1973-07-01,25.29
1973-10-01,25.728
1974-01-01,26.249
1974-04-01,26.832
1974-07-01,27.659
1974-10-01,28.498
1975-01-01,29.142
1975-04-01,29.565
1975-07-01,30.087
1975-10-01,30.59
1976-01-01,30.925
1976-04-01,31.233
1976-07-01,31.632
1976-10-01,32.169
1977-01-01,32.689
1977-04-01,33.205
1977-07-01,33.662
1977-10-01,34.225
1978-01-01,34.786
1978-04-01,35.48
1978-07-01,36.106
1978-10-01,36.819
1979-01-01,37.507
1979-04-01,38.413
1979-07-01,39.215
1979-10-01,39.93
1980-01-01,40.804
1980-04-01,41.771
1980-07-01,42.703
1980-10-01,43.835
1981-01-01,44.997
1981-04-01,45.842
1981-07-01,46.733
1981-10-01,47.505
1982-01-01,48.186
1982-04-01,48.826
1982-07-01,49.504
1982-10-01,50.005
1983-01-01,50.404
1983-04-01,50.778
1983-07-01,51.318
1983-10-01,51.702
1984-01-01,52.212
1984-04-01,52.681
1984-07-01,53.157
1984-10-01,53.528
1985-01-01,54.076
1985-04-01,54.396
1985-07-01,54.757
1985-10-01,55.042
1986-01-01,55.313
1986-04-01,55.507
1986-07-01,55.771
1986-10-01,56.102
1987-01-01,56.427
1987-04-01,56.81
1987-07-01,57.248
1987-10-01,57.678
1988-01-01,58.124
1988-04-01,58.704
1988-07-01,59.423
1988-10-01,59.97
1989-01-01,60.547
1989-04-01,61.202
1989-07-01,61.656
1989-10-01,62.077
1990-01-01,62.753
1990-04-01,63.455
1990-07-01,64.004
1990-10-01,64.493
1991-01-01,65.12
1991-04-01,65.589
1991-07-01,66.092
1991-10-01,66.476
1992-01-01,66.743
1992-04-01,67.141
1992-07-01,67.462
1992-10-01,67.937
1993-01-01,68.341
1993-04-01,68.744
1993-07-01,69.089
1993-10-01,69.495
1994-01-01,69.851
1994-04-01,70.184
1994-07-01,70.558
1994-10-01,70.952
1995-01-01,71.356
1995-04-01,71.706
1995-07-01,72.027
1995-10-01,72.367
1996-01-01,72.7
1996-04-01,72.997
1996-07-01,73.352
1996-10-01,73.662
1997-01-01,73.992
1997-04-01,74.361
1997-07-01,74.581
1997-10-01,74.848
1998-01-01,74.924
1998-04-01,75.119
1998-07-01,75.41
1998-10-01,75.613
1999-01-01,75.859
1999-04-01,76.19
1999-07-01,76.472
1999-10-01,76.863
2000-01-01,77.389
2000-04-01,77.841
2000-07-01,78.315
2000-10-01,78.729
2001-01-01,79.232
2001-04-01,79.76
2001-07-01,80.01
2001-10-01,80.284
2002-01-01,80.503
2002-04-01,80.832
2002-07-01,81.177
2002-10-01,81.643
2003-01-01,82.047
2003-04-01,82.287
2003-07-01,82.738
2003-10-01,83.196
2004-01-01,83.824
2004-04-01,84.515
2004-07-01,85.06
2004-10-01,85.714
2005-01-01,86.368
2005-04-01,86.977
2005-07-01,87.794
2005-10-01,88.489
2006-01-01,89.101
2006-04-01,89.845
2006-07-01,90.505
2006-10-01,90.845
2007-01-01,91.777
2007-04-01,92.339
2007-07-01,92.725
2007-10-01,93.15
2008-01-01,93.569
2008-04-01,93.935
2008-07-01,94.654
2008-10-01,94.896
2009-01-01,94.959
2009-04-01,94.856
2009-07-01,94.912
2009-10-01,95.269
2010-01-01,95.491
2010-04-01,95.912
2010-07-01,96.251
2010-10-01,96.781
2011-01-01,97.276
2011-04-01,97.975
2011-07-01,98.519
2011-10-01,98.676
2012-01-01,99.284
2012-04-01,99.689
2012-07-01,100.299
2012-10-01,100.728
2013-01-01,101.123
2013-04-01,101.431
2013-07-01,101.985
2013-10-01,102.551
2014-01-01,102.96
2014-04-01,103.539
2014-07-01,104.01
2014-10-01,104.078
2015-01-01,104.072
2015-04-01,104.684
2015-07-01,105.0
2015-10-01,104.997
2016-01-01,104.933
2016-04-01,105.618
2016-07-01,105.987
2016-10-01,106.543
2017-01-01,107.04
2017-04-01,107.394
2017-07-01,108.032
2017-10-01,108.715
2018-01-01,109.341
2018-04-01,110.209
2018-07-01,110.765
2018-10-01,111.212
2019-01-01,111.504
2019-04-01,112.173
2019-07-01,112.674
